,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,721,362,279,359,362,187,331,92,215,693,92,307
1,355,176,645,179,176,509,149,136,539,325,136,675
2,630,372,370,258,372,147,247,223,158,619,223,381
3,377,229,623,148,229,196,136,427,208,365,427,635
4,706,425,294,281,425,94,206,200,169,631,200,369
5,447,263,553,184,263,184,116,369,252,379,369,621
6,715,431,285,284,431,105,219,180,170,650,180,350
7,474,275,526,199,275,182,126,344,255,401,344,599
8,678,423,322,255,423,138,216,184,177,639,184,361
9,469,275,531,194,275,232,118,299,308,393,299,607
10,675,406,325,269,406,157,217,168,209,623,168,377
11,430,247,570,183,247,249,124,321,308,371,321,629
12,709,453,291,256,453,136,205,155,187,658,155,342
13,452,260,548,192,260,265,106,283,351,366,283,634
14,703,443,297,260,443,149,214,148,195,657,148,343
15,442,266,558,176,266,266,114,292,328,380,292,620
16,691,428,309,263,428,137,216,172,184,644,172,356
17,450,251,550,199,251,299,130,251,368,381,251,619
18,692,442,308,250,442,149,214,159,185,656,159,344
19,439,258,561,181,258,270,125,291,326,383,291,617
20,692,434,308,258,434,157,215,151,200,649,151,351
21,420,245,580,175,245,275,119,305,331,364,305,636
22,705,466,295,239,466,140,188,155,191,654,155,346
23,466,270,534,196,270,283,118,251,361,388,251,612
24,700,453,300,247,453,149,204,151,192,657,151,343
25,438,255,562,183,255,281,118,281,346,373,281,627
26,707,447,293,260,447,137,219,156,178,666,156,334
27,431,255,569,176,255,267,115,302,328,370,302,630
28,690,433,310,257,433,163,211,147,209,644,147,356
29,438,262,562,176,262,287,115,275,348,377,275,623
30,703,455,297,248,455,152,206,145,194,661,145,339
31,432,260,568,172,260,290,111,278,351,371,278,629
32,704,436,296,268,436,147,222,149,193,658,149,342
33,453,260,547,193,260,269,128,278,334,388,278,612
34,682,433,318,249,433,165,207,153,207,640,153,360
35,440,259,560,181,259,294,121,266,354,380,266,620
36,687,442,313,245,442,154,193,159,206,635,159,365
37,451,275,549,176,275,264,116,285,324,391,285,609
38,673,435,327,238,435,159,192,168,205,627,168,373
39,441,270,559,171,270,295,111,264,355,381,264,619
40,683,428,317,255,428,151,201,166,205,629,166,371
41,436,276,564,160,276,270,106,294,324,382,294,618
42,682,444,318,238,444,159,194,159,203,638,159,362
43,439,272,561,167,272,295,111,266,351,383,266,617
44,694,437,306,257,437,151,210,155,198,647,155,353
45,455,283,545,172,283,302,115,243,359,398,243,602
46,707,453,293,254,453,150,204,143,200,657,143,343
47,440,262,560,178,262,273,108,287,343,370,287,630
48,704,442,296,262,442,140,218,156,184,660,156,340
49,464,280,536,184,280,270,129,266,325,409,266,591
50,683,423,317,260,423,153,193,164,220,616,164,384
51,433,259,567,174,259,298,116,269,356,375,269,625
52,690,435,310,255,435,155,210,155,200,645,155,355
53,446,279,554,167,279,286,99,268,354,378,268,622
54,680,441,320,239,441,152,198,168,193,639,168,361
55,434,278,566,156,278,281,102,285,335,380,285,620
56,692,462,308,230,462,149,190,159,189,652,159,348
57,436,272,564,164,272,289,107,275,346,379,275,621
58,683,454,317,229,454,155,186,162,198,640,162,360
59,464,297,536,167,297,273,109,263,331,406,263,594
60,711,456,289,255,456,139,194,150,200,650,150,350
61,431,277,569,154,277,284,96,285,342,373,285,627
62,711,436,289,275,436,141,216,148,200,652,148,348
63,446,270,554,176,270,293,125,261,344,395,261,605
64,667,416,333,251,416,168,194,165,225,610,165,390
65,425,255,575,170,255,290,108,285,352,363,285,637
66,695,450,305,245,450,155,194,150,206,644,150,356
67,453,284,547,169,284,284,113,263,340,397,263,603
68,682,456,318,226,456,156,188,162,194,644,162,356
69,450,270,550,180,270,273,105,277,348,375,277,625
70,685,449,315,236,449,161,187,154,210,636,154,364
71,455,290,545,165,290,275,100,270,340,390,270,610
72,700,452,300,248,452,152,212,148,188,664,148,336
73,442,264,558,178,264,293,117,265,354,381,265,619
74,693,451,307,242,451,156,209,151,189,660,151,340
75,442,268,558,174,268,283,113,275,344,381,275,619
76,687,433,313,254,433,160,207,153,207,640,153,360
77,455,267,545,188,267,265,131,280,322,398,280,602
78,687,447,313,240,447,147,185,166,202,632,166,368
79,430,254,570,176,254,302,104,268,374,358,268,642
80,692,480,308,212,480,154,171,154,195,651,154,349
81,430,276,570,154,276,284,96,286,342,372,286,628
82,690,460,310,230,460,144,183,166,191,643,166,357
83,479,300,521,179,300,244,112,277,311,412,277,588
84,690,455,310,235,455,146,183,164,198,638,164,362
85,440,269,560,171,269,306,106,254,371,375,254,625
86,703,461,297,242,461,159,193,138,208,654,138,346
87,449,294,551,155,294,248,107,303,296,401,303,599
88,677,425,323,252,425,146,202,177,196,627,177,373
89,464,265,536,199,265,284,116,252,367,381,252,619
90,661,431,339,230,431,169,183,170,216,614,170,386
91,463,306,537,157,306,260,93,277,324,399,277,601
92,684,444,316,240,444,153,214,163,179,658,163,342
93,465,276,535,189,276,302,128,233,363,404,233,596
94,676,464,324,212,464,158,173,166,197,637,166,363
95,423,274,577,149,274,294,100,283,343,374,283,626
96,677,420,323,257,420,159,212,164,204,632,164,368
97,477,296,523,181,296,260,123,263,318,419,263,581
98,652,430,348,222,430,168,186,180,204,616,180,384
99,456,271,544,185,271,255,112,289,328,383,289,617
