,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,183,64,817,119,64,726,71,91,774,135,91,865
1,796,358,204,438,358,142,397,62,183,755,62,245
2,738,607,262,131,607,143,99,119,175,706,119,294
3,728,590,272,138,590,135,109,137,164,699,137,301
4,705,552,295,153,552,144,125,151,172,677,151,323
5,217,83,783,134,83,140,97,643,177,180,643,820
6,798,558,202,240,558,99,226,103,113,784,103,216
7,755,505,245,250,505,126,225,119,151,730,119,270
8,720,474,280,246,474,150,225,130,171,699,130,301
9,688,475,312,213,475,152,178,160,187,653,160,347
10,498,319,502,179,319,167,152,335,194,471,335,529
11,675,416,325,259,416,142,227,183,174,643,183,357
12,390,220,610,170,220,165,142,445,193,362,445,638
13,795,528,205,267,528,112,247,93,132,775,93,225
14,452,285,548,167,285,147,147,401,167,432,401,568
15,741,464,259,277,464,113,226,146,164,690,146,310
16,382,198,618,184,198,126,140,492,170,338,492,662
17,806,518,194,288,518,92,258,102,122,776,102,224
18,429,261,571,168,261,143,152,428,159,413,428,587
19,710,440,290,270,440,113,243,177,140,683,177,317
20,406,228,594,178,228,147,162,447,163,390,447,610
21,760,481,240,279,481,101,234,139,146,715,139,285
22,443,246,557,197,246,129,144,428,182,390,428,610
23,703,445,297,258,445,115,219,182,154,664,182,336
24,459,250,541,209,250,153,145,388,217,395,388,605
25,671,415,329,256,415,133,208,196,181,623,196,377
26,497,286,503,211,286,166,157,337,220,443,337,557
27,634,364,366,270,364,147,196,219,221,560,219,440
28,527,259,473,268,259,161,163,312,266,422,312,578
29,608,349,392,259,349,170,226,222,203,575,222,425
30,513,259,487,254,259,181,176,306,259,435,306,565
31,593,334,407,259,334,179,204,228,234,538,228,462
32,547,290,453,257,290,190,182,263,265,472,263,528
33,555,298,445,257,298,193,175,252,275,473,252,527
34,553,304,447,249,304,198,185,249,262,489,249,511
35,555,325,445,230,325,205,186,240,249,511,240,489
36,559,315,441,244,315,188,162,253,270,477,253,523
37,560,311,440,249,311,205,196,235,258,507,235,493
38,539,303,461,236,303,188,166,273,258,469,273,531
39,593,325,407,268,325,198,191,209,275,516,209,484
40,551,297,449,254,297,202,182,247,274,479,247,521
41,551,286,449,265,286,203,185,246,283,471,246,529
42,572,331,428,241,331,214,186,214,269,517,214,483
43,546,322,454,224,322,213,153,241,284,475,241,525
44,533,291,467,242,291,212,190,255,264,481,255,519
45,547,304,453,243,304,240,193,213,290,497,213,503
46,534,286,466,248,286,243,180,223,311,466,223,534
47,560,318,440,242,318,227,204,213,265,522,213,478
48,562,300,438,262,300,201,182,237,281,482,237,518
49,566,322,434,244,322,220,191,214,273,513,214,487
50,528,294,472,234,294,225,167,247,292,461,247,539
51,559,318,441,241,318,211,174,230,278,492,230,508
52,554,315,446,239,315,216,172,230,283,487,230,513
53,542,296,458,246,296,231,182,227,295,478,227,522
54,560,325,440,235,325,225,162,215,298,487,215,513
55,531,291,469,240,291,251,187,218,304,478,218,522
56,553,299,447,254,299,225,204,222,275,503,222,497
57,535,298,465,237,298,232,170,233,299,468,233,532
58,554,321,446,233,321,231,185,215,279,506,215,494
59,536,308,464,228,308,224,187,240,265,495,240,505
60,565,314,435,251,314,230,177,205,304,491,205,509
61,527,303,473,224,303,257,183,216,298,486,216,514
62,556,297,444,259,297,233,209,211,283,506,211,494
63,529,286,471,243,286,260,210,211,293,496,211,504
64,578,318,422,260,318,205,181,217,284,499,217,501
65,495,280,505,215,280,252,158,253,309,438,253,562
66,597,335,403,262,335,205,201,198,266,536,198,464
67,521,292,479,229,292,236,163,243,302,455,243,545
68,581,344,419,237,344,226,195,193,268,539,193,461
69,512,266,488,246,266,251,179,237,318,445,237,555
70,595,332,405,263,332,211,218,194,256,550,194,450
71,513,288,487,225,288,265,170,222,320,458,222,542
72,568,334,432,234,334,249,200,183,283,534,183,466
73,492,259,508,233,259,289,187,219,335,446,219,554
74,572,336,428,236,336,220,208,208,248,544,208,456
75,520,272,480,248,272,261,170,219,339,442,219,558
76,540,305,460,235,305,230,206,230,259,511,230,489
77,549,315,451,234,315,241,185,210,290,500,210,500
78,548,288,452,260,288,228,191,224,297,479,224,521
79,532,287,468,245,287,253,217,215,281,504,215,496
80,539,286,461,253,286,246,173,215,326,459,215,541
81,557,324,443,233,324,248,202,195,279,526,195,474
82,528,292,472,236,292,231,164,241,303,456,241,544
83,561,326,439,235,326,224,193,215,266,519,215,481
84,541,284,459,257,284,241,177,218,321,461,218,539
85,565,320,435,245,320,239,198,196,286,518,196,482
86,527,293,473,234,293,266,191,207,309,484,207,516
87,554,315,446,239,315,248,196,198,291,511,198,489
88,525,297,475,228,297,236,166,239,298,463,239,537
89,546,309,454,237,309,239,201,215,275,510,215,490
90,534,292,466,242,292,242,181,224,303,473,224,527
91,547,307,453,240,307,233,185,220,288,492,220,508
92,536,294,464,242,294,240,185,224,297,479,224,521
93,540,293,460,247,293,256,202,204,301,495,204,505
94,527,304,473,223,304,254,187,219,290,491,219,509
95,540,287,460,253,287,231,185,229,299,472,229,528
96,528,287,472,241,287,254,194,218,301,481,218,519
97,536,276,464,260,276,243,211,221,292,487,221,513
98,533,308,467,225,308,243,193,224,275,501,224,499
99,541,309,459,232,309,221,178,238,275,487,238,513
