,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,279,108,721,171,108,658,162,63,667,270,63,730
1,889,516,111,373,516,82,381,29,74,897,29,103
2,203,88,797,115,88,141,106,656,150,194,656,806
3,838,662,162,176,662,79,166,83,89,828,83,172
4,729,546,271,183,546,128,156,143,155,702,143,298
5,716,467,284,249,467,159,190,125,218,657,125,343
6,607,388,393,219,388,180,199,213,200,587,213,413
7,528,311,472,217,311,167,168,305,216,479,305,521
8,660,402,340,258,402,166,202,174,222,604,174,396
9,375,204,625,171,204,185,130,440,226,334,440,666
10,825,533,175,292,533,108,266,67,134,799,67,201
11,432,237,568,195,237,181,130,387,246,367,387,633
12,822,545,178,277,545,103,251,75,129,796,75,204
13,358,128,642,230,128,193,94,449,329,222,449,778
14,822,551,178,271,551,115,264,63,122,815,63,185
15,578,292,422,286,292,172,150,250,308,442,250,558
16,626,384,374,242,384,208,263,166,187,647,166,353
17,431,192,569,239,192,225,116,344,348,308,344,692
18,772,512,228,260,512,134,261,94,133,773,94,227
19,471,226,529,245,226,200,129,329,316,355,329,645
20,725,432,275,293,432,153,267,122,179,699,122,301
21,430,202,570,228,202,205,132,365,301,334,365,666
22,773,474,227,299,474,110,258,117,151,732,117,268
23,448,193,552,255,193,219,132,333,342,325,333,675
24,726,472,274,254,472,135,234,139,155,706,139,294
25,425,204,575,221,204,258,134,317,345,338,317,662
26,734,448,266,286,448,130,229,136,187,677,136,323
27,447,222,553,225,222,258,128,295,355,350,295,650
28,700,442,300,258,442,153,236,147,175,678,147,322
29,439,228,561,211,228,272,152,289,331,380,289,620
30,713,421,287,292,421,136,228,151,200,649,151,351
31,462,239,538,223,239,247,146,291,324,385,291,615
32,667,390,333,277,390,173,233,160,217,623,160,377
33,436,224,564,212,224,278,134,286,356,358,286,642
34,658,416,342,242,416,162,204,180,200,620,180,380
35,481,254,519,227,254,250,156,269,321,410,269,590
36,646,404,354,242,404,172,219,182,195,623,182,377
37,445,223,555,222,223,303,154,252,371,377,252,623
38,702,414,298,288,414,161,235,137,214,649,137,351
39,424,221,576,203,221,296,146,280,353,367,280,633
40,701,434,299,267,434,154,223,145,198,657,145,343
41,459,258,541,201,258,250,136,291,315,394,291,606
42,655,400,345,255,400,186,227,159,214,627,159,373
43,445,236,555,209,236,296,158,259,347,394,259,606
44,671,402,329,269,402,173,219,156,223,621,156,379
45,445,250,555,195,250,266,138,289,323,388,289,612
46,647,390,353,257,390,185,229,168,213,619,168,381
47,459,233,541,226,233,290,163,251,353,396,251,604
48,625,366,375,259,366,196,231,179,224,597,179,403
49,479,259,521,220,259,268,154,253,334,413,253,587
50,640,393,360,247,393,172,223,188,196,616,188,384
51,458,235,542,223,235,263,146,279,340,381,279,619
52,657,388,343,269,388,192,221,151,240,609,151,391
53,415,222,585,193,222,281,147,304,327,369,304,631
54,640,392,360,248,392,193,215,167,226,607,167,393
55,501,259,499,242,259,234,167,265,309,426,265,574
56,639,376,361,263,376,196,218,165,241,594,165,406
57,448,257,552,191,257,314,142,238,363,399,238,601
58,624,360,376,264,360,207,235,169,236,595,169,405
59,484,268,516,216,268,249,153,267,312,421,267,579
60,624,347,376,277,347,211,241,165,247,588,165,412
61,461,250,539,211,250,293,173,246,331,423,246,577
62,647,390,353,257,390,172,193,181,236,583,181,417
63,453,252,547,201,252,303,155,244,349,407,244,593
64,640,389,360,251,389,188,223,172,216,612,172,388
65,459,256,541,203,256,277,144,264,336,400,264,600
66,634,376,366,258,376,196,209,170,245,585,170,415
67,465,246,535,219,246,278,162,257,335,408,257,592
68,632,382,368,250,382,180,192,188,238,574,188,426
69,465,271,535,194,271,292,155,243,331,426,243,574
70,635,373,365,262,373,203,232,162,233,605,162,395
71,450,247,550,203,247,270,130,280,343,377,280,623
72,637,387,363,250,387,192,212,171,230,599,171,401
73,497,281,503,216,281,261,136,242,341,417,242,583
74,630,369,370,261,369,192,211,178,242,580,178,420
75,471,259,529,212,259,273,139,256,346,398,256,602
76,630,374,370,256,374,215,213,155,258,587,155,413
77,472,265,528,207,265,281,153,247,335,418,247,582
78,631,374,369,257,374,210,234,159,233,608,159,392
79,485,280,515,205,280,275,156,240,324,436,240,564
80,619,362,381,257,362,189,207,192,239,569,192,431
81,471,266,529,205,266,265,146,264,324,412,264,588
82,620,362,380,258,362,215,222,165,251,584,165,416
83,466,249,534,217,249,280,167,254,330,416,254,584
84,621,349,379,272,349,198,237,181,233,586,181,414
85,481,260,519,221,260,273,148,246,346,408,246,592
86,621,366,379,255,366,194,221,185,228,587,185,413
87,459,250,541,209,250,275,138,266,346,388,266,612
88,617,369,383,248,369,202,223,181,227,592,181,408
89,480,263,520,217,263,256,150,264,323,413,264,587
90,617,356,383,261,356,199,226,184,234,582,184,418
91,449,252,551,197,252,288,155,263,330,407,263,593
92,643,390,357,253,390,188,221,169,220,611,169,389
93,484,278,516,206,278,269,157,247,318,435,247,565
94,634,378,366,256,378,210,207,156,259,585,156,415
95,462,266,538,196,266,272,141,266,327,407,266,593
96,616,348,384,268,348,208,230,176,246,578,176,422
97,480,254,520,226,254,263,165,257,324,419,257,581
98,610,342,390,268,342,219,222,171,265,564,171,436
99,498,260,502,238,260,260,154,242,344,414,242,586
