,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,119,21,881,98,21,757,25,124,830,46,124,954
1,856,404,144,452,404,87,418,57,121,822,57,178
2,737,645,263,92,645,86,94,177,84,739,177,261
3,811,621,189,190,621,95,216,94,69,837,94,163
4,694,575,306,119,575,94,127,212,86,702,212,298
5,713,524,287,189,524,95,185,192,99,709,192,291
6,229,103,771,126,103,106,133,665,99,236,665,764
7,894,657,106,237,657,38,246,68,29,903,68,97
8,672,436,328,236,436,105,236,223,105,672,223,328
9,697,420,303,277,420,120,269,183,128,689,183,311
10,279,138,721,141,138,114,130,607,125,268,607,732
11,909,610,91,299,610,36,303,55,32,913,55,87
12,480,314,520,166,314,100,170,420,96,484,420,516
13,775,467,225,308,467,76,252,149,132,719,149,281
14,283,153,717,130,153,125,121,592,134,274,592,726
15,903,590,97,313,590,40,306,57,47,896,57,104
16,502,358,498,144,358,109,147,389,106,505,389,495
17,766,493,234,273,493,77,213,157,137,706,157,294
18,309,174,691,135,174,124,118,567,141,292,567,708
19,889,600,111,289,600,43,265,68,67,865,68,135
20,461,311,539,150,311,107,148,432,109,459,432,541
21,776,475,224,301,475,86,244,138,143,719,138,281
22,346,188,654,158,188,129,136,525,151,324,525,676
23,882,540,118,342,540,45,289,73,98,829,73,171
24,423,244,577,179,244,110,126,467,163,370,467,630
25,828,510,172,318,510,61,220,111,159,730,111,270
26,418,210,582,208,210,121,116,461,213,326,461,674
27,827,515,173,312,515,68,217,105,163,732,105,268
28,466,234,534,232,234,132,117,402,247,351,402,649
29,736,431,264,305,431,117,226,147,196,657,147,343
30,532,257,468,275,257,137,129,331,283,386,331,614
31,658,391,342,267,391,176,231,166,212,622,166,378
32,518,265,482,253,265,150,127,332,276,392,332,608
33,653,359,347,294,359,182,242,165,234,601,165,399
34,487,244,513,243,244,191,145,322,289,389,322,611
35,695,379,305,316,379,154,220,151,250,599,151,401
36,479,248,521,231,248,214,140,307,305,388,307,612
37,655,372,345,283,372,183,238,162,228,610,162,390
38,480,213,520,267,213,228,150,292,345,363,292,637
39,710,421,290,289,421,168,220,122,237,641,122,359
40,427,233,573,194,233,231,133,342,292,366,342,634
41,727,406,273,321,406,138,214,135,245,620,135,380
42,415,219,585,196,219,288,153,297,331,372,297,628
43,737,423,263,314,423,140,225,123,229,648,123,352
44,409,205,591,204,205,273,136,318,341,341,318,659
45,745,441,255,304,441,128,216,127,216,657,127,343
46,446,233,554,213,233,267,152,287,328,385,287,615
47,682,402,318,280,402,180,224,138,236,626,138,374
48,444,232,556,212,232,301,155,255,358,387,255,613
49,692,394,308,298,394,163,234,145,227,628,145,372
50,415,223,585,192,223,313,132,272,373,355,272,645
51,703,418,297,285,418,156,226,141,215,644,141,356
52,433,239,567,194,239,276,136,291,334,375,291,625
53,721,410,279,311,410,145,235,134,221,645,134,355
54,383,207,617,176,207,295,121,322,350,328,322,672
55,724,444,276,280,444,131,240,145,171,684,145,316
56,444,259,556,185,259,274,127,282,332,386,282,614
57,718,441,282,277,441,147,214,135,210,655,135,345
58,417,257,583,160,257,297,136,286,321,393,286,607
59,690,413,310,277,413,180,230,130,227,643,130,357
60,452,240,548,212,240,277,124,271,365,364,271,636
61,668,394,332,274,394,178,225,154,227,619,154,381
62,410,225,590,185,225,293,133,297,345,358,297,642
63,707,406,293,301,406,155,249,138,207,655,138,345
64,437,242,563,195,242,287,143,276,339,385,276,615
65,693,411,307,282,411,166,238,141,210,649,141,351
66,427,234,573,193,234,282,130,291,345,364,291,636
67,678,421,322,257,421,186,224,136,219,645,136,355
68,431,245,569,186,245,306,135,263,357,380,263,620
69,685,366,315,319,366,197,254,118,262,620,118,380
70,440,240,560,200,240,279,136,281,343,376,281,624
71,683,407,317,276,407,180,216,137,240,623,137,377
72,425,255,575,170,255,304,134,271,340,389,271,611
73,672,405,328,267,405,192,232,136,227,637,136,363
74,408,222,592,186,222,307,127,285,366,349,285,651
75,697,434,303,263,434,155,205,148,213,639,148,361
76,453,257,547,196,257,288,135,259,349,392,259,608
77,669,389,331,280,389,200,227,131,253,616,131,384
78,443,245,557,198,245,269,150,288,317,395,288,605
79,683,419,317,264,419,184,229,133,219,648,133,352
80,443,231,557,212,231,279,156,278,335,387,278,613
81,677,420,323,257,420,195,195,128,257,615,128,385
82,446,253,554,193,253,296,151,258,338,404,258,596
83,680,396,320,284,396,186,218,134,252,614,134,386
84,398,217,602,181,217,307,146,295,342,363,295,637
85,677,380,323,297,380,180,236,143,241,616,143,384
86,443,257,557,186,257,287,136,270,337,393,270,607
87,673,379,327,294,379,189,232,138,251,611,138,389
88,416,234,584,182,234,305,124,279,363,358,279,642
89,664,395,336,269,395,183,204,153,248,599,153,401
90,470,238,530,232,238,260,160,270,332,398,270,602
91,691,416,309,275,416,181,210,128,246,626,128,374
92,452,265,548,187,265,262,139,286,310,404,286,596
93,679,385,321,294,385,180,229,141,245,614,141,386
94,423,252,577,171,252,290,129,287,332,381,287,619
95,678,417,322,261,417,198,209,124,250,626,124,374
96,450,254,550,196,254,292,135,258,353,389,258,611
97,681,388,319,293,388,192,234,127,251,622,127,378
98,417,232,583,185,232,290,147,293,328,379,293,621
99,658,380,342,278,380,185,238,157,225,618,157,382
