,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,143,25,857,118,25,750,38,107,830,63,107,937
1,829,403,171,426,403,117,388,54,155,791,54,209
2,751,638,249,113,638,113,102,136,124,740,136,260
3,785,607,215,178,607,111,187,104,102,794,104,206
4,724,548,276,176,548,103,179,173,100,727,173,273
5,487,330,513,157,330,121,163,392,115,493,392,507
6,769,510,231,259,510,93,234,138,118,744,138,256
7,266,113,734,153,113,112,142,622,123,255,622,745
8,873,552,127,321,552,55,318,72,58,870,72,130
9,636,461,364,175,461,108,185,256,98,646,256,354
10,382,223,618,159,223,118,153,500,124,376,500,624
11,854,577,146,277,577,71,247,75,101,824,75,176
12,274,140,726,134,140,109,122,617,121,262,617,738
13,857,578,143,279,578,60,276,83,63,854,83,146
14,684,457,316,227,457,102,219,214,110,676,214,324
15,463,270,537,193,270,119,184,418,128,454,418,546
16,703,424,297,279,424,97,229,200,147,653,200,347
17,418,219,582,199,219,112,171,470,140,390,470,610
18,803,523,197,280,523,87,233,110,134,756,110,244
19,313,177,687,136,177,124,119,563,141,296,563,704
20,852,575,148,277,575,56,264,92,69,839,92,161
21,501,317,499,184,317,107,182,392,109,499,392,501
22,669,411,331,258,411,96,205,235,149,616,235,384
23,431,250,569,181,250,121,148,448,154,398,448,602
24,738,460,262,278,460,96,232,166,142,692,166,308
25,449,259,551,190,259,124,157,427,157,416,427,584
26,718,424,282,294,424,96,231,186,159,655,186,345
27,458,264,542,194,264,128,144,414,178,408,414,592
28,726,431,274,295,431,95,226,179,164,657,179,343
29,465,241,535,224,241,128,164,407,188,405,407,595
30,662,386,338,276,386,124,210,214,190,596,214,404
31,467,231,533,236,231,139,144,394,231,375,394,625
32,706,436,294,270,436,128,197,166,201,633,166,367
33,497,279,503,218,279,154,149,349,223,428,349,572
34,660,343,340,317,343,150,210,190,257,553,190,447
35,528,266,472,262,266,158,171,314,249,437,314,563
36,627,340,373,287,340,162,203,211,246,543,211,457
37,492,245,508,247,245,197,174,311,270,419,311,581
38,616,326,384,290,326,165,224,219,231,550,219,450
39,503,252,497,251,252,200,166,297,285,418,297,582
40,613,335,387,278,335,189,204,198,263,539,198,461
41,504,262,496,242,262,223,160,273,305,422,273,578
42,617,333,383,284,333,205,223,178,266,556,178,444
43,508,282,492,226,282,217,167,275,276,449,275,551
44,577,316,423,261,316,217,189,206,289,505,206,495
45,528,293,472,235,293,242,171,230,306,464,230,536
46,572,304,428,268,304,224,214,204,278,518,204,482
47,502,268,498,234,268,265,176,233,323,444,233,556
48,617,356,383,261,356,196,193,187,264,549,187,451
49,482,271,518,211,271,260,174,258,297,445,258,555
50,587,305,413,282,305,195,200,218,277,505,218,495
51,543,286,457,257,286,237,185,220,309,471,220,529
52,527,289,473,238,289,263,195,210,306,484,210,516
53,548,319,452,229,319,219,173,233,275,492,233,508
54,540,285,460,255,285,239,175,221,319,460,221,540
55,558,322,442,236,322,227,192,215,271,514,215,486
56,513,279,487,234,279,242,172,245,304,451,245,549
57,552,302,448,250,302,247,219,201,278,521,201,479
58,523,281,477,242,281,253,181,224,314,462,224,538
59,570,326,430,244,326,219,168,211,295,494,211,506
60,507,289,493,218,289,251,181,242,288,470,242,530
61,590,309,410,281,309,220,193,190,308,502,190,498
62,470,273,530,197,273,265,181,265,281,454,265,546
63,634,354,366,280,354,197,204,169,273,558,169,442
64,472,266,528,206,266,258,138,270,326,404,270,596
65,588,337,412,251,337,219,197,193,273,534,193,466
66,492,253,508,239,253,281,184,227,336,437,227,563
67,647,365,353,282,365,172,213,181,241,578,181,422
68,480,250,520,230,250,271,154,249,347,404,249,596
69,605,344,395,261,344,208,208,187,261,552,187,448
70,477,280,523,197,280,278,162,245,313,442,245,558
71,615,328,385,287,328,219,232,166,274,560,166,440
72,474,258,526,216,258,271,163,255,324,421,255,579
73,597,324,403,273,324,200,227,203,246,551,203,449
74,510,288,490,222,288,266,175,224,313,463,224,537
75,567,323,433,244,323,228,180,205,292,503,205,497
76,490,261,510,229,261,267,176,243,320,437,243,563
77,601,335,399,266,335,214,225,185,255,560,185,440
78,452,245,548,207,245,287,166,261,328,411,261,589
79,604,332,396,272,332,212,225,184,259,557,184,443
80,481,254,519,227,254,278,166,241,339,420,241,580
81,601,348,399,253,348,215,210,184,258,558,184,442
82,450,254,550,196,254,302,161,248,337,415,248,585
83,614,352,386,262,352,201,200,185,263,552,185,448
84,505,267,495,238,267,267,174,228,331,441,228,559
85,608,336,392,272,336,204,220,188,256,556,188,444
86,497,286,503,211,286,265,154,238,322,440,238,560
87,582,333,418,249,333,235,205,183,279,538,183,462
88,486,277,514,209,277,276,174,238,311,451,238,549
89,622,338,378,284,338,204,231,174,257,569,174,431
90,463,240,537,223,240,282,165,255,340,405,255,595
91,591,319,409,272,319,223,207,186,288,526,186,474
92,489,270,511,219,270,251,178,260,292,448,260,552
93,597,312,403,285,312,206,209,197,282,521,197,479
94,489,267,511,222,267,273,168,238,327,435,238,565
95,593,342,407,251,342,208,212,199,247,554,199,446
96,487,260,513,227,260,262,165,251,324,425,251,575
97,605,355,395,250,355,233,202,162,281,557,162,443
98,490,284,510,206,284,232,146,278,292,430,278,570
99,581,313,419,268,313,217,205,202,280,518,202,482
